,Unnamed: 0,rank,discipline,yrs.since.phd,yrs.service,sex,salary
150,151,Prof,B,14.0,12,Male,128148
151,152,AsstProf,B,4.0,4,Male,92000
152,153,Prof,B,21.0,9,Male,111168
153,154,AssocProf,B,12.0,10,Female,103994
154,155,AsstProf,B,4.0,0,Male,92000
155,156,Prof,B,21.0,21,Male,118971
156,157,AssocProf,B,12.0,18,Male,113341
157,158,AsstProf,B,1.0,0,Male,88000
158,159,AssocProf,B,6.0,6,Male,95408
159,160,Prof,B,15.0,16,Male,137167
160,161,AsstProf,B,2.0,2,Male,89516
161,162,Prof,B,26.0,19,Male,176500
162,163,AssocProf,B,22.0,7,Male,98510
163,164,AsstProf,B,3.0,3,Male,89942
164,165,AsstProf,B,1.0,0,Male,88795
165,166,Prof,B,21.0,8,Male,105890
166,167,Prof,B,16.0,16,Male,167284
167,168,Prof,B,18.0,19,Male,130664
168,169,AssocProf,B,8.0,6,Male,101210
169,170,Prof,B,25.0,18,Male,181257
170,171,AsstProf,B,5.0,5,Male,91227
171,172,Prof,B,19.0,19,Male,151575
172,173,Prof,B,37.0,24,Male,93164
173,174,Prof,B,20.0,20,Male,134185
174,175,AssocProf,B,17.0,6,Male,105000
175,176,Prof,B,28.0,25,Male,111751
176,177,AssocProf,B,10.0,7,Male,95436
177,178,AssocProf,B,13.0,9,Male,100944
178,179,Prof,B,27.0,14,Male,147349
179,180,AsstProf,B,3.0,3,Female,92000
180,181,Prof,B,11.0,11,Male,142467
181,182,Prof,B,18.0,5,Male,141136
182,183,AssocProf,B,8.0,8,Male,100000
183,184,Prof,B,26.0,22,Male,150000
184,185,Prof,B,23.0,23,Male,101000
185,186,Prof,B,33.0,30,Male,134000
186,187,AssocProf,B,13.0,10,Female,103750
187,188,Prof,B,18.0,10,Male,107500
188,189,AssocProf,B,28.0,28,Male,106300
189,190,Prof,B,25.0,19,Male,153750
190,191,Prof,B,22.0,9,Male,180000
191,192,Prof,B,43.0,22,Male,133700
192,193,Prof,B,19.0,18,Male,122100
193,194,AssocProf,B,19.0,19,Male,86250
194,195,AssocProf,B,48.0,53,Male,90000
195,196,AssocProf,B,9.0,7,Male,113600
196,197,AsstProf,B,4.0,4,Male,92700
197,198,AsstProf,B,4.0,4,Male,92000
198,199,Prof,B,34.0,33,Male,189409
199,200,Prof,B,38.0,22,Male,114500
200,201,AsstProf,B,4.0,4,Male,92700
201,202,Prof,B,40.0,40,Male,119700
202,203,Prof,B,28.0,17,Male,160400
203,204,Prof,B,17.0,17,Male,152500
204,205,Prof,B,19.0,5,Male,165000
205,206,Prof,B,21.0,2,Male,96545
206,207,Prof,B,35.0,33,Male,162200
207,208,Prof,B,18.0,18,Male,120000
208,209,AsstProf,B,7.0,2,Male,91300
209,210,Prof,B,20.0,20,Male,163200
210,211,AsstProf,B,4.0,3,Male,91000
211,212,Prof,B,39.0,39,Male,111350
212,213,Prof,B,15.0,7,Male,128400
213,214,Prof,B,26.0,19,Male,126200
214,215,AssocProf,B,11.0,1,Male,118700
215,216,Prof,B,16.0,11,Male,145350
216,217,Prof,B,15.0,11,Male,146000
217,218,AssocProf,B,29.0,22,Male,105350
218,219,AssocProf,B,14.0,7,Female,109650
219,220,Prof,B,13.0,11,Male,119500
220,221,Prof,B,21.0,21,Male,170000
221,222,Prof,B,23.0,10,Male,145200
222,223,AssocProf,B,13.0,6,Male,107150
223,224,Prof,B,34.0,20,Male,129600
224,225,Prof,A,38.0,35,Male,87800
225,226,Prof,A,20.0,20,Male,122400
226,227,AsstProf,A,3.0,1,Male,63900
227,228,AssocProf,A,9.0,7,Male,70000
228,229,Prof,A,16.0,11,Male,88175
229,230,Prof,A,39.0,38,Male,133900
230,231,Prof,A,29.0,27,Female,91000
231,232,AssocProf,A,26.0,24,Female,73300
232,233,Prof,A,38.0,19,Male,148750
233,234,Prof,A,36.0,19,Female,117555
234,235,AsstProf,A,8.0,3,Male,69700
235,236,Prof,A,28.0,17,Male,81700
236,237,Prof,A,25.0,25,Male,114000
237,238,AsstProf,A,7.0,6,Female,63100
238,239,Prof,A,46.0,40,Male,77202
239,240,Prof,A,19.0,6,Male,96200
240,241,AsstProf,A,5.0,3,Male,69200
241,242,Prof,A,31.0,30,Male,122875
242,243,Prof,A,38.0,37,Male,102600
243,244,Prof,A,23.0,23,Male,108200
244,245,Prof,A,19.0,23,Male,84273
245,246,Prof,A,17.0,11,Female,90450
246,247,Prof,A,30.0,23,Male,91100
247,248,Prof,A,21.0,18,Male,101100
248,249,Prof,A,28.0,23,Male,128800
249,250,Prof,A,29.0,7,Male,204000
250,251,Prof,A,39.0,39,Male,109000
251,252,Prof,A,20.0,8,Male,102000
252,253,Prof,A,31.0,12,Male,132000
253,254,AsstProf,A,4.0,2,Female,77500
254,255,Prof,A,28.0,7,Female,116450
255,256,AssocProf,A,12.0,8,Male,83000
256,257,Prof,A,22.0,22,Male,140300
257,258,AssocProf,A,30.0,23,Male,74000
258,259,AsstProf,A,9.0,3,Male,73800
259,260,Prof,A,32.0,30,Male,92550
260,261,AssocProf,A,41.0,33,Male,88600
261,262,Prof,A,45.0,45,Male,107550
262,263,Prof,A,31.0,26,Male,121200
263,264,Prof,A,31.0,31,Male,126000
264,265,Prof,A,37.0,35,Male,99000
265,266,Prof,A,36.0,30,Male,134800
266,267,Prof,A,43.0,43,Male,143940
267,268,Prof,A,14.0,10,Male,104350
268,269,Prof,A,47.0,44,Male,89650
269,270,Prof,A,13.0,7,Male,103700
270,271,Prof,A,42.0,40,Male,143250
271,272,Prof,A,42.0,18,Male,194800
272,273,AsstProf,A,4.0,1,Male,73000
273,274,AsstProf,A,8.0,4,Male,74000
274,275,AsstProf,A,8.0,3,Female,78500
275,276,Prof,A,12.0,6,Male,93000
276,277,Prof,A,52.0,48,Male,107200
277,278,Prof,A,31.0,27,Male,163200
278,279,Prof,A,24.0,18,Male,107100
279,280,Prof,A,46.0,46,Male,100600
280,281,Prof,A,39.0,38,Male,136500
281,282,Prof,A,37.0,27,Male,103600
282,283,Prof,A,51.0,51,Male,57800
283,284,Prof,A,45.0,43,Male,155865
284,285,AssocProf,A,8.0,6,Male,88650
285,286,AssocProf,A,49.0,49,Male,81800
286,287,Prof,A,28.0,27,Male,115800
287,288,AsstProf,A,2.0,0,Male,85000
288,289,Prof,A,29.0,27,Male,150500
289,290,AsstProf,A,8.0,5,Male,74000
290,291,Prof,A,33.0,7,Male,174500
291,292,Prof,A,32.0,28,Male,168500
292,293,Prof,A,39.0,9,Male,183800
293,294,AssocProf,A,11.0,1,Male,104800
294,295,Prof,A,19.0,7,Male,107300
295,296,Prof,A,40.0,36,Male,97150
296,297,Prof,A,18.0,18,Male,126300
297,298,Prof,A,17.0,11,Male,148800
298,299,Prof,A,49.0,43,Male,72300
299,300,AssocProf,A,45.0,39,Male,70700
300,301,Prof,A,39.0,36,Male,88600
301,302,Prof,A,27.0,16,Male,127100
302,303,Prof,A,28.0,13,Male,170500
303,304,Prof,A,14.0,4,Male,105260
304,305,Prof,A,46.0,44,Male,144050
305,306,Prof,A,33.0,31,Male,111350
306,307,AsstProf,A,7.0,4,Male,74500
307,308,Prof,A,31.0,28,Male,122500
308,309,AsstProf,A,5.0,0,Male,74000
309,310,Prof,A,22.0,15,Male,166800
310,311,Prof,A,20.0,7,Male,92050
311,312,Prof,A,14.0,9,Male,108100
312,313,Prof,A,29.0,19,Male,94350
313,314,Prof,A,35.0,35,Male,100351
314,315,Prof,A,22.0,6,Male,146800
315,316,AsstProf,B,6.0,3,Male,84716
316,317,AssocProf,B,12.0,9,Female,71065
317,318,Prof,B,46.0,45,Male,67559
318,319,Prof,B,16.0,16,Male,134550
319,320,Prof,B,16.0,15,Male,135027
320,321,Prof,B,24.0,23,Male,104428
321,322,AssocProf,B,9.0,9,Male,95642
322,323,AssocProf,B,13.0,11,Male,126431
323,324,Prof,B,24.0,15,Female,161101
324,325,Prof,B,30.0,31,Male,162221
325,326,AsstProf,B,8.0,4,Male,84500
326,327,Prof,B,23.0,15,Male,124714
327,328,Prof,B,37.0,37,Male,151650
328,329,AssocProf,B,10.0,10,Male,99247
329,330,Prof,B,23.0,23,Male,134778
330,331,Prof,B,49.0,60,Male,192253
331,332,Prof,B,20.0,9,Male,116518
332,333,Prof,B,18.0,10,Female,105450
333,334,Prof,B,33.0,19,Male,145098
334,335,AssocProf,B,19.0,6,Female,104542
335,336,Prof,B,36.0,38,Male,151445
336,337,Prof,B,35.0,23,Male,98053
337,338,Prof,B,13.0,12,Male,145000
338,339,Prof,B,32.0,25,Male,128464
339,340,Prof,B,37.0,15,Male,137317
340,341,Prof,B,13.0,11,Male,106231
341,342,Prof,B,17.0,17,Female,124312
342,343,Prof,B,38.0,38,Male,114596
343,344,Prof,B,31.0,31,Male,162150
344,345,Prof,B,32.0,35,Male,150376
345,346,Prof,B,15.0,10,Male,107986
346,347,Prof,B,41.0,27,Male,142023
347,348,Prof,B,39.0,33,Male,128250
348,349,AsstProf,B,4.0,3,Male,80139
349,350,Prof,B,27.0,28,Male,144309
350,351,Prof,B,56.0,49,Male,186960
351,352,Prof,B,38.0,38,Male,93519
352,353,Prof,B,26.0,27,Male,142500
353,354,Prof,B,22.0,20,Male,138000
354,355,AsstProf,B,8.0,1,Male,83600
355,356,Prof,B,25.0,21,Male,145028
356,357,Prof,A,49.0,40,Male,88709
357,358,Prof,A,39.0,35,Male,107309
358,359,Prof,A,28.0,14,Female,109954
359,360,AsstProf,A,11.0,4,Male,78785
360,361,Prof,A,14.0,11,Male,121946
361,362,Prof,A,23.0,15,Female,109646
362,363,Prof,A,30.0,30,Male,138771
363,364,AssocProf,A,20.0,17,Male,81285
364,365,Prof,A,43.0,43,Male,205500
365,366,Prof,A,43.0,40,Male,101036
366,367,Prof,A,15.0,10,,115435
367,368,AssocProf,A,10.0,1,Male,108413
368,369,Prof,A,35.0,30,Male,131950
369,370,Prof,A,33.0,31,Male,134690
370,371,AssocProf,A,13.0,8,Male,78182
371,372,Prof,A,23.0,20,Male,110515
372,373,Prof,A,12.0,7,Male,109707
373,374,Prof,A,30.0,26,Male,136660
374,375,Prof,A,27.0,19,Male,103275
375,376,Prof,A,28.0,26,Male,103649
376,377,AsstProf,A,4.0,1,Male,74856
377,378,AsstProf,A,6.0,3,Male,77081
378,379,Prof,A,38.0,38,Male,150680
379,380,AssocProf,A,11.0,8,Male,104121
380,381,AsstProf,A,8.0,3,Male,75996
381,382,Prof,A,27.0,23,Male,172505
382,383,AssocProf,A,8.0,5,Male,86895
383,384,Prof,A,44.0,44,Male,105000
384,385,Prof,A,27.0,21,Male,125192
385,386,Prof,A,15.0,9,Male,114330
386,387,Prof,A,29.0,27,Male,139219
387,388,Prof,A,29.0,15,Male,109305
388,389,Prof,A,38.0,36,Male,119450
389,390,Prof,A,33.0,18,Male,186023
390,391,Prof,A,40.0,19,Male,166605
391,392,Prof,A,30.0,19,Male,151292
392,393,Prof,A,33.0,30,Male,103106
393,394,Prof,A,31.0,19,Male,150564
394,395,Prof,A,42.0,25,Male,101738
395,396,Prof,A,25.0,15,Male,95329
396,397,AsstProf,A,8.0,4,Male,81035
